code,description/en,License,access/availableOnline,access/exampleIdentifiers,access/guidanceOnLocatingIds,access/languages,access/onlineAccessDetails,access/publicDatabase,confirmed,coverage,data/availability,data/dataAccessDetails,data/features,data/licenseDetails,data/licenseStatus,deprecated,formerPrefixes,links/opencorporates,links/wikipedia,listType,meta/lastUpdated,meta/source,name/en,name/local,quality,quality_explained/Availability: API,quality_explained/Availability: Bulk download,quality_explained/Availability: CSV format,quality_explained/Availability: Excel format,quality_explained/Availability: JSON format,quality_explained/Availability: PDF format,quality_explained/Availability: RDF format,quality_explained/Availability: XML format,quality_explained/License: Closed License,quality_explained/License: No License,quality_explained/License: Open License,quality_explained/List type: Local,quality_explained/List type: Primary,quality_explained/List type: Secondary,quality_explained/List type: Third Party,registerType,sector,structure,subnationalCoverage,url
ZA-NPO,"The Nonprofit Organisation Directorate is held under the South African Department of Social Development. NPOs register with the Nonprofit Organisation Directorate and are assigned a registration number. Users can refer to ZA-NPO for unique identifiers for NGOs in South Africa. The database can be searched for free.

Users should note that they should not include ""NPO"" to the end of the identifier.

""The Nonprofit Organisations Directorate was established in terms of the Nonprofit Organisations Act 71 of 1997 to essentially administer the Register of Nonprofit Organisations in South Africa.  

The Register of Nonprofit Organisations (NPOs) is a voluntary registration facility that enhances the credibility of the registered NPO as it reports to a public office. The NPO Directorate, as a public office, holds information about registered NPOs for the public to access. "" [1]

[1] http://www.dsd.gov.za/npo/",,False,"181-465, 015-712, 56-058","Users can find identifiers by using the simple, searchable database. Identifiers will be under the column header 'Registration No.'

Users should note that they do not need to attach ""NPO"" to the end of the identifier.",en,,http://www.npo.gov.za/PublicNpo/Npo,True,ZA,html,,"date_of_registration, registration_number, organisation_name, organisation_type, registered_address, directors_trustees_governors, phone_number, e-mail_address",,no_license,,,,,secondary,2016-12-21,Desk research,Nonprofit Organisation Directorate - South African Department of Social Development,,55,,,,,,,,,,5,,,,50,,,,charity,,http://www.npo.gov.za/
PS-MOI,"The Palestine Ministry of Interior provide a registration list of NGOs, divided by province and responsible ministry. 
",,,"HB-4157-C, JN-8179-C","Use the filters to locate the organisation you wish to identify. The identifier will be given in the 'Registration number' column.

This will consist of letters, numbers, and dashes.

The numbers may be displayed as eastern arabic numerals. When copied and pasted these should convert to western arabic numerals, and should always be entered into a database using western arabic numerals.",ar,A simple filter by province and Ministry of Jurisdiction exists on the Ministry of Interior website.,http://www.moi.pna.ps/NGOs/List,True,PS,,,,© 2017 - Palestinian Interior Ministry,,False,,,,secondary,2017-06-25,IATI Submission,Ministry of Interior (Palestine),وزارة الـداخـلـيــة,50,,,,,,,,,,,,,,50,,,,charity,,http://www.moi.pna.ps/NGOs/List
CA_NB-NWB_NOB,This entry was imported from the Open Corporates Jurisdiction List.,,False,,,"en, fr",,http://www.snb.ca/e/6000/6600e.asp,True,CA,,,,,closed_license,,,,,primary,2016-12-14,Desk research,Corporate Registry , Registre corporatif,75,,,,,,,,,0,,,,75,,,,,company,CA-NB,https://www.pxw1.snb.ca/snb7001/e/2000/2500e.asp
TZ-NNCB,"The National NGO Coordination Board is part of the Ministry of Community Development, Gender and Children and is responsible for registration of [1]:

* National NGOs, which are established via registration with the Board
* International NGOS, which are established outside Tanzania but must register with the Board to operate in the country

NGOs must submit an application for registration to the public officer appointed by the Board at either district, regional or national level depending on the scope of their activities [1], [2], [3]. Successful applicants will be issued with a certificate of registration as evidence of authority to operate as an NGO [1].

[1] https://www.fiu.go.tz/NGOact.pdf
[2] http://www.tnnc.go.tz/Procedures_registration_NGOs.pdf
[3] http://www.tnnc.go.tz/documents/application.pdf",,False,"00NGO/1787,00NGO/00007227,00NGO/0008891,00NGO00002182","Clicking the name of an entry in the list displays the NGO profile view which includes links to annual and financial reports. Where organisations have provided an annual report the identifier may be found in the registration number field, where this is completed.",EN,"The list of NGOs is published on the [Tanzania National NGO Coordination Board website](http://www.tnnc.go.tz/ngoresults.php) with a search by name, category, region and district available on the [homepage](http://www.tnnc.go.tz/index.php). However identifiers are not published for most organisations on the list and the list appears to be incomplete or out of date",http://www.tnnc.go.tz/ngoresults.php,True,TZ,data_not_available,,,,,False,,,"https://en.wikipedia.org/wiki/Ministry_of_Community_Development,_Gender_and_Children",primary,2018-04-27,original research (see https://github.com/org-id/register/issues/220#event-1597098877),Tanzania National NGO Coordination Board,Bodi ya Taifa ya Uratibu wa NGOs,75,,,,,,,,,,,,,75,,,,,charity,,http://www.tnnc.go.tz
GB-NIC,"The Register of Charities is an accurate and up-to-date list of all organisations in Northern Ireland considered by law to be charitable. Currently, registration is a managed process and only organisations called forward by the Commission are considered eligible to register. For more information on the Register please visit http://www.charitycommissionni.org.uk/manage-your-charity/register-your-charity/charity-registration-faqs/.",,True,"100019,100048,100050","Use the 'Reg charity number' field, as this is a unique registration identifier to each organisation. Though 'Sub charity number' is intended for those that are subsidiaries, in reality this is not used.",en,"Visit http://www.charitycommissionni.org.uk/charity-search/, select relevant filters and download the csv. The data is updated daily.",http://www.charitycommissionni.org.uk/charity-search/,True,GB,"csv, bulk","Visit http://www.charitycommissionni.org.uk/charity-search/, select relevant filters and download the csv. The data is updated daily.","date_of_registration, registration_number, status, website, registered_address, contact_address, e-mail_address, phone_number, objectives_purpose, financial_turnover_details",UK Open Government Licence v3.0 (uk-ogl) http://reference.data.gov.uk/id/open-government-licence,open_license,False,,,https://en.wikipedia.org/wiki/Charity_Commission_for_Northern_Ireland,primary,2017-08-17,https://www.opendatani.gov.uk/dataset/register-of-charities,The Charity Commission for Northern Ireland,Register of Charities Northern Ireland (CCNI),88,,2,1,,,,,,,,10,,75,,,,,charity,GB-NIR,http://www.charitycommissionni.org.uk/charity-search/
TR-MOI,"All non-profit associations operating in Turkey should register with the Department of Associations. 

During registration, they will be given a registration number. ",,False,27-018-163,Identifiers are provided to organisations when they first register. Ask the organisation to check their registration certificate. ,"tr, en",An online information system is available at https://www.dernekler.gov.tr/ but it appears to require log-in only accessible to registered NGOs. ,,True,TR,data_not_available,,,,no_license,False,,,,primary,2017-07-18,IATI,"Department of Associations (Ministry of Interior, Turkey)",Dernekler Dairesi Başkanlığı,80,,,,,,,,,,5,,,75,,,,,charity,,https://www.dernekler.gov.tr/
XI-PB,"Public Bodies is an Open Knowledge Foundation (OKF) project that aims to provide a unique ID for every part of every government. The main website is a portal for linking to profile pages for countries whose public bodies OKF has recorded. There are also links to directly download CSVs of this information.

Data available on the following countries/regions - Brazil, European Union, Germany, Greece, New Zealand, Switzerland, United Kingdom, United States ",,False,"gb/aberdeen-city-council, de/14-panzergrenadierdivision-hanse, ch/bundesrat-eidgenoessisches-departement-fuer-auswaertige-angelegenheiten-direktion-fuer-ressourcen-logistik-eda-bundesreisezentrale-pool-2-evd-edi-uvek-vbs-ejpd","Users can click on the link for a country profile to access a webpage with a list of public bodies from that country. Once they open a link to a specific body, the data is available in JSON format. Identifiers will be under the tag 'id'.

Users can also download a CSV file which contains information on each public body. Identifiers will be under the column header 'id'.","pt, de, el, en",,http://publicbodies.org/,True,"BR, CH, GR, US, DE, GB, NZ","csv, html, json","http://publicbodies.org/ - CSV download available for Brazil, European Union, Germany, Greece, New Zealand, Switzerland, United Kingdom and United States","registration_number, organisation_name, objectives/purpose, organisation_type, registered_address, website, date_of_foundation, e-mail_address",http://opendatacommons.org/licenses/pddl/1.0/,open_license,,,,,third-party,2016-12-28,Desk research,Public Bodies - Open Knowledge Foundation ,,12,,,1,,1,,,,,,10,,,,,,,government_agency,,http://publicbodies.org/
PK-PCP,"The Pakistan Centre for Philanthropy provides certification for NGOs working in Pakistan. Registration with the PCP is not obligatory for working in Pakistan and therefore not all NGOs will be recorded on the 'PCP Certified CSO List'. However, this list can be searched online.

All NGOs are required to register with their local Voluntary Social Welfare department. 

""This voluntary assessment aims to enhance a CSOs' credibility and resultantly its access to funding. Through the allied activities of this programme, PCP promotes certified CSOs in an annual directory and on its website and also builds capacities of civil society organisations for greater effectiveness."" [1]

[1] http://pcp.org.pk/page.php?pid=19",,False,,NGOs do not receive an identifier after being certified by the PCP. Unique identifiers are not available on the CSO list.,en,A bulk dataset is available at https://drive.google.com/file/d/0B67B7u-xqLazZFhHTkUtUVVRWXc/view although it is not clear how far this is kept updated,http://pcp.org.pk/index.php,True,PK,"html, google_drive","Data is available through simple online search, and also as Google Drive link. For the latter, users may need a Google Drive account","organisation_name, organisation_type, directors_trustees_governors, date_of_registration, objectives/purpose, registered_address, e-mail_address, phone_number",,closed_license,True,,,,third-party,2016-12-01,Desk research,Pakistan Centre for Philanthropy,,0,,,,,,,,,0,,,,,,,,,charity,,http://pcp.org.pk/index.php
ET-CSA,"Most Charities and Societies which operate in Ethiopia are required to register with the Charities and Societies Agency, an institution of the Federal Government, which issues certificates of legal personality to those registered.",,,,,EN,,,True,ET,data_not_available,,,,,False,,,,primary,2017-10-17T10:00:00Z,original research,Charities and Societies Agency (Ethiopia),የበጎ አድራጎት ድርጅቶችና ማህበራት ኤጀንሲ,75,,,,,,,,,,,,,75,,,,,charity,,http://www.chsa.gov.et/
BR-CNPJ,"The CNPJ is the national registry that administers identification numbers issued by the Ministério da Fazenda, for all non-personal legal entities in Brazil.
Organizations register exclusively on the Federal Revenue website. After filling in the necessary data online, relevant documents are sent by mail or presented in person.
The CNPJ Registration Number is a fourteen digit number that must be included on all receipts and invoices. Tax authorities assign an eight-digit company registration number that makes up the first part of the CNPJ. The following four digits refer to the business place or branch. Company headquarters are usually assigned the number 0001 for this section of the identification number, with other branches receiving different numbers. The final two numbers are check digits.",,True,"02326629-0001-51, 24367342-0001-02, 02881697-0001-82","Search in the box on top of the page. Limit of two per day per IP address. Remove dots, '.', and replace slashes, '/', with a dash, '-'.",,,http://cnpj.info/,True,BR,bulk,There are several (currently 20) files to be downloaded in ZIP-format. They take some time. ,"directors_trustees_governors, registered_address, akas, e-mail_address, industry_classifications, date_of_registration, legal_representatives, registration_number, phone_number, country_of_origin, tax_id_number, post_code_zip_code, activities_sector_code, expiry_date, status",,no_license,False,,,https://pt.wikipedia.org/wiki/Cadastro_Nacional_da_Pessoa_Jur%C3%ADdica,primary,2020-06-08,Original research,National Registry of Legal Entities,Cadastro Nacional da Pessoa Jurídica,82,,2,,,,,,,,5,,,75,,,,,"company, trust, unincorporated_body, government_agency",,http://cnpj.info/
IN-MHA,"The Foreign Contributions (Regulation) Act required NGOs in receipt of foreign funding in India to register with the government. They are assigned an FRCA Registration Number.

",,,"104860017, 147040594","Some states appear to publish lists of local FRCA numbers, and a web search for an organisation name and 'FRCA' may identify it's number, which can be verified through the FRCA Online website. 

Organisations may also be able to provide their own identifiers. ",en,"A full search service for identifiers does not appear to be available. However, a service is available from the website to verify identifiers, which will return information on the address and validity of an FRCA certificate when an identifier is supplied.",https://fcraonline.nic.in/fc_reg_certificate_details_verification1.aspx,True,IN,data_not_available,,"registered_address, date_of_registration, expiry_date, status",,,False,,,"https://en.wikipedia.org/wiki/Foreign_Contribution_(regulation)_Act,_2010",secondary,2017-06-25,IATI,Ministry of Home Affairs (India) Foreign Contributions (Regulation) Act Register,,50,,,,,,,,,,,,,,50,,,,charity,,https://fcraonline.nic.in/
KG-INN,The Ministry of Justice of the Kyrgyz Republic maintains the register of legal entities. Only Russian and Kyrgyz interfaces are available.,,True,1207199510092,Tax number is under `ИНН` header.,"kg, ru","Company can be searched by its name (`наименование`), registration number (`Рег. №`), tax number (`ИНН`), OKPO code (assigned to each legal entity for statistics purposes), company status, registration date etc.  Search is free-of-charge, no English interface.",,True,KG,,,,,,False,,,,secondary,2017-10-24,ProZorro Business Register Research,Kyrgyz Republic Register of Legal Entities,"Юридикалык жактарды, Кыргыз Республикасынын кароо",50,,,,,,,,,,,,,,50,,,,company,,http://register.minjust.gov.kg/register/SearchAction.seam?logic=and&cid=205
GB-GOV,"IATI Version 2.x codes for use by IATI for UK Government Departments.

Users looking for non-IATI codes for government organsiations should use the UK Government Organsiation Register GB-GOR",,False,"1, 4, 9","Users can download an ODS file at this webpage - https://data.gov.uk/dataset/iati-organisation-identifier-for-uk-government-bodies

The identifiers for use are under the column headers 'IATI 2.x'.",en,Available as ODS file,https://data.gov.uk/dataset/iati-organisation-identifier-for-uk-government-bodies,True,GB,"csv, ods",,"organisation_name, registration_number",,open_license,,GB-GOVUK,,,secondary,2016-11-23,Desk research,UK Government Departments Reference Numbers (IATI Standard),,61,,,1,,,,,,,,10,,,50,,,,government_agency,,http://data.gov.uk/dataset/iati-organisation-identifier-for-uk-government-bodies
ET-MOT,"The Ministry of Trade is the official ministry for business registration in Ethiopia.

""The Ministry of Trade was re-established in August1995 under -- proclamation No 4/1995 issued to provide for the definition of powers and duties of the executive organs of the Federal Democratic Republic ofEthiopia (FDRE).

The Ministry was again reorganized with a proclamation No 619/2003 issued to amend the reorganization of the executive organs of the Federal Democratic Republic Ethiopia Proclamation No 256/2001. With this proclamation and by other laws, the Ministry has been given the power to supervise and coordinate five government institutions that are involved in the promotion & development of trade, industry and investment activities.

The Ministry of Trade shall have the powers and duties to:

Encourage and register the establishment of chambers of commerce and sectorial associations including consumers associations and strengthen those already established(Chambers of Commerce and Sectorial Association Establishment Proclamation No.341/2003)."" [1]

[1]: http://www.mot.gov.et/documents/27281/0/Proc+No.+341-2003+Chamber+of+commerce+and+sectorial+Associa.pdf/50798768-2b9d-4f20-990f-1d4298f16f08?version=1.1",,False,020/4/007,"A computerised system exists for checking company names, but it is not accessible online. 

Identifiers will need to be requested from the organisation to be identified, and should be available from the documents originally issued when they registered. ",en,,,True,ET,data_not_available,,,,no_license,False,,,,primary,2017-07-06,IATI - https://discuss.iatistandard.org/t/proposed-addition-to-the-organisation-registration-agency-codelist-ethiopia/941,Ministry of Trade (Ethiopia),,80,,,,,,,,,,5,,,75,,,,,"company, charity",,http://www.mot.gov.et
SO-MPND,"(1) This list covers the operations of non-governmental, independent and not-for-profit organizations; Local/National NGOs, Foreign NGOs, and International NGOs within Somaliland. It also includes the Umbrellas and Consortium of Non-governmental Organizations[1]. Registrations have to be regularly renewed.

Local NGOs will be assigned with an identifier after registering. International NGOs should provide a copy of their home-country registration details. 

The list does not include any regulation for the activities of UN organizations, Professional Associations, Private Companies and Industrial and Employee Associations, and those not relating to humanitarian activities [2]. 

The General Register for Non-Governmental Organizations records and maintains all information and data relating to NGOs. The General Register has separate registration sections for National, International, Foreign, and Umbrellas NGOs [3]. 

(2) An NGO is entered into the General Register using the official name of the NGO and the date of registration, serial number and registration number of the certificate. Additional requirements also exist [4].

[1]: Article2.2 and 2.3: http://slministryofplanning.org/images/NGO/ngo-law-final.pdf
[2]: Article2.4: http://slministryofplanning.org/images/NGO/ngo-law-final.pdf
[3]: Article 9.1: Register for Non-Governmental Organizations in http://slministryofplanning.org/images/NGO/ngo-law-final.pdf
[4]: Article 9.7(f):  Register for Non-Governmental Organizations in http://slministryofplanning.org/images/NGO/ngo-law-final.pdf",,False,,,,,,True,SO,data_not_available,,,,no_license,False,,,,secondary,2018-04-18,Original research - https://github.com/org-id/register/issues/205,General Register for Non-Governmental Organizations (Somaliland),,55,,,,,,,,,,5,,,,50,,,,"charity, trust",,http://slministryofplanning.org/
IE-CRO,"The Companies Registration Office of Ireland is responsible for the incorporation of business operating in Ireland and maintaining an online database of the information. Data is provided for free and also for a fee, depending on the amount/type requested.

""The CRO has a number of core functions:

* The incorporation of companies and the registration of business names.
* The receipt and registration of post incorporation documents.
* The enforcement of the Companies Act 2014  in relation to the filing obligations of companies.
* Making information available to the public."" [1]

[1] https://www.cro.ie/About-CRO/Functions-of-the-CRO",,False,"123260, 83424, 549061","Users can find identifiers by using this simple, searchable database - https://search.cro.ie/company/

The identifiers are under the column heading 'Number'",,"Data is available, for free, through simple webpage search, and RESTful API (sign up required for latter). Specific company documents and bulk data consisting of information and/or document images of all companies also available for annual fee","https://search.cro.ie/company/ , https://services.cro.ie/index.aspx, https://www.cro.ie/Publications/Fees/Bulk-Data",True,IE,"bulk_download, api, html",,"organisation_type, organisation_name, registration_number, registered_address, date_of_registration, status",https://opencorporates.com/registers/118,closed_license,,,http://opencorporates.com/companies/ie,,primary,2016-11-24,Desk research,Irish CompaniesRegistration Office,,77,2,,,,,,,,0,,,,75,,,,,company,,http://www.cro.ie/
AR-CENOC,"Law Nº 25.855, de Voluntariado Social (Social Volunteering) established in 2004 a role for  El Centro Nacional de Organizaciones de la Comunidad to maintain a database of civil society organisations (CSOs).

""The CSOs that receive or intend to receive public funds must be included in the database, to carry out projects financed in whole or in part with state resources, whatever the subject matter.""

Registration for the database requests detailed information, including capturing a CUIT number for the organisation (where known), address and contact information. However, only a basic list of identifiers and names is currently published. ",,True,"9316-A, 10434-A, 11890-A",Download the Excel spreadsheet and use the search function to locate an organization name. ,es,An excel spreadsheet of the list is available to download from the CENOC website.,http://www.cenoc.gob.ar/public/documentos/ListadoOrganizacionesWeb.xls,True,AR,"bulk, excel",,,,no_license,False,,,,secondary,2017-7-14,IATI - https://discuss.iatistandard.org/t/proposed-addition-to-the-organisation-registration-agency-codelist-argentina/944,The National Centre of Community Organisations (Argentina), El Centro Nacional de Organizaciones de la Comunidad ,58,,2,,1,,,,,,5,,,,50,,,,charity,,http://www.cenoc.gob.ar/
KE-NCB,"The NGO Coordination Board of Kenya registers NGOs and maintains a registry of organisation information. This information can be accessed by through request and after paying a fee.

""The Board has the responsibility of regulating and enabling the NGO sector in Kenya.

Our Mandate:

To maintain the register of National and International NGOs operating in Kenya, with the precise sectors, affiliations and locations of their activities."" [1]

""Under section 31 of the NGOs Regulations 1992, any member of the public is allowed to inspect the files and the documents therein of any registered organization during normal working hours. They can also obtain copies of documents in the files.

To conduct a records search a letter should be written to the ED of the NGOB stating the name of the applicant as well as the organization whose details they wish to search and the information they seek.

The applicant can decide whether to carry out the records search themselves or have the Board conduct it on their behalf. This will be upon a requisite payment of Kenya Shillings Three Thousand (KES 3000)"" [2]

[1] http://www.ngobureau.or.ke/
[2] http://www.ngobureau.or.ke/?page_id=408",,False,,"A unified registry list of NGO identifiers not found. But other organisations have referred to NGO identifiers.

An OIPA search returns example ID KE-NCB-200201282375. Searching on the second part of that finds http://www.idealist.org/view/nonprofit/kCM3mWt8k6W4/ . Which has a slightly different format of ID: OP.218/051/2002/0128/2375. 

There are also some IDs in the dataset with the OP component such as KE-NCB-OP-218-051-9399-80

It is possible that the government issues them with slashes, but people are replacing that with different characters, and stripping some parts off in cases.

We recommend following the pattern of stripping out the slashes, and removing the preceding OP component. ",en,"There are several links which suggest the user can access data, but they do not lead to a searchable registry e.g. 'Name Search', 'Register of NGOs' and 'Records Search' do not provide access to data",None available,True,KE,data_not_available,,,,closed_license,,,,,secondary,2016-12-27,Desk research,NGO's Coordination Board,,50,,,,,,,,,0,,,,,50,,,,charity,,http://www.ngobureau.or.ke/
XI-WIKIDATA,"Wikidata is a free knowledge base that anyone can edit. It holds linked open data about tens of millions of entities and more than one million of them are organizations. Each instition item can hold a wide range of statements, names in hundreds of languages and identifiers in other databases.",,True,"Q1377, Q152057",Search for an organization on Wikidata. There are also a wide range of tools to retrieve a Wikidata item using other identifiers or reconciliation heuristics.,"aa, ab, ace, ady, ady-cyrl, aeb, aeb-arab, aeb-latn, af, ak, aln, als, am, an, ang, anp, ar, arc, arn, arq, ary, arz, as, ase, ast, atj, av, avk, awa, ay, az, azb, ba, ban, bar, bat-smg, bbc, bbc-latn, bcc, bcl, be, be-tarask, be-x-old, bg, bgn, bh, bho, bi, bjn, bm, bn, bo, bpy, bqi, br, brh, bs, bto, bug, bxr, ca, cbk-zam, cdo, ce, ceb, ch, cho, chr, chy, ckb, co, cps, cr, crh, crh-cyrl, crh-latn, cs, csb, cu, cv, cy, da, de, de-at, de-ch, de-formal, din, diq, dsb, dtp, dty, dv, dz, ee, egl, el, eml, en, en-ca, en-gb, eo, es, et, eu, ext, fa, ff, fi, fit, fiu-vro, fj, fo, fr, frc, frp, frr, fur, fy, ga, gag, gan, gan-hans, gan-hant, gd, gl, glk, gn, gom, gom-deva, gom-latn, gor, got, grc, gsw, gu, gv, ha, hak, haw, he, hi, hif, hif-latn, hil, ho, hr, hrx, hsb, ht, hu, hy, hz, ia, id, ie, ig, ii, ik, ike-cans, ike-latn, ilo, inh, io, is, it, iu, ja, jam, jbo, jut, jv, ka, kaa, kab, kbd, kbd-cyrl, kbp, kea, kg, khw, ki, kiu, kj, kk, kk-arab, kk-cn, kk-cyrl, kk-kz, kk-latn, kk-tr, kl, km, kn, ko, ko-kp, koi, kr, krc, kri, krj, krl, ks, ks-arab, ks-deva, ksh, ku, ku-arab, ku-latn, kv, kw, ky, la, lad, lb, lbe, lez, lfn, lg, li, lij, liv, lki, lmo, ln, lo, loz, lrc, lt, ltg, lus, luz, lv, lzh, lzz, mai, map-bms, mdf, mg, mh, mhr, mi, min, mk, ml, mn, mo, mr, mrj, ms, mt, mus, mwl, my, myv, mzn, na, nah, nan, nap, nb, nds, nds-nl, ne, new, ng, niu, nl, nl-informal, nn, no, nod, nov, nrm, nso, nv, ny, nys, oc, olo, om, or, os, ota, pa, pag, pam, pap, pcd, pdc, pdt, pfl, pi, pih, pl, pms, pnb, pnt, prg, ps, pt, pt-br, qu, qug, rgn, rif, rm, rmy, rn, ro, roa-rup, roa-tara, ru, rue, rup, ruq, ruq-cyrl, ruq-latn, rw, rwr, sa, sah, sat, sc, scn, sco, sd, sdc, sdh, se, sei, ses, sg, sgs, sh, shi, shi-latn, shi-tfng, shn, si, simple, sje, sk, skr, skr-arab, sl, sli, sm, sma, smj, sn, so, sq, sr, sr-ec, sr-el, srn, srq, ss, st, stq, su, sv, sw, szl, ta, tay, tcy, te, tet, tg, tg-cyrl, tg-latn, th, ti, tk, tl, tly, tn, to, tokipona, tpi, tr, tru, ts, tt, tt-cyrl, tt-latn, tum, tw, ty, tyv, tzm, udm, ug, ug-arab, ug-latn, uk, ur, uz, uz-cyrl, uz-latn, ve, vec, vep, vi, vls, vmf, vo, vot, vro, wa, war, wo, wuu, xal, xh, xmf, yi, yo, yue, za, zea, zh, zh-classical, zh-cn, zh-hans, zh-hant, zh-hk, zh-min-nan, zh-mo, zh-my, zh-sg, zh-tw, zh-yue, zu","Wikidata is free to read, reuse and modify. It is released under the Creative Commons CC0 license.",https://www.wikidata.org/,True,XI,"api, bulk","A wide range of APIs is supplied, and bulk download is possible in various formats.","activities_sector_code, akas, contact_address, date_of_registration, directors_trustees_governors, e-mail_address, expiry_date, financial_turnover_details, industry_classifications, legal_representatives, number_of_employees, phone_number, post_code_zip_code, registered_address, registration_number, shareholders, status, tax_id_number, website",Creative Commons CC0 License,,False,,,https://en.wikipedia.org/wiki/Wikidata,third_party,2017-01-28,,Wikidata,,29,2,2,,,,,,,,,,,,,25,,,"charity, company, government_agency, trust, unincorporated_body",,https://www.wikidata.org/
GB-LAS,"The Local Authority SCT Register has been developed with the Scottish Government and Government Digital Service (GDS), and contains identifiers for 32 local authorities.

It uses the second portion of [ISO_3166-2](https://en.wikipedia.org/wiki/ISO_3166-2:GB) codes and includes all codes listed for Scotland (SCT). ",,True,"ZET, WLN, ORK","Look for the value of the 'local-authority-sct' column. 
",en,,https://local-authority-sct.register.gov.uk/records,True,GB,"api, csv, json",'[Bulk download](https://local-authority-sct.register.gov.uk/download)' a copy of this register.     Each register has an '[open API](https://registers-docs.cloudapps.digital/)' you can use to access the data without any authentication. There's more information about using the register APIs in the technical documentation.,"date_of_registration, expiry_date, status",Open Government Licence v3.0,open_license,False,,,,secondary,2017-03-07,Desk research,Scottish Local Authority Register,,64,2,,1,,1,,,,,,10,,,50,,secondary,,"government_agency/local_government, government_agency",GB-SCT,https://local-authority-sct.register.gov.uk/
PE-SUNARP,"The SUNARP is an autonomous decentralized body of the Justice Sector in Peru and the governing body of the National System of Public Registries. It maintains the register of Legal Entities (""Registro De Personas Juridicas"") which covers corporate and non-corporate bodies including:

* Non Corporate
  * Associations
  * Foundations
  * Committees
  * Peasant and native communities
  * Cooperatives
  * Grassroots social organizations
* Corporate
  * Public Limited Companies (open and closed)
  * Collective Societies
  * Limited Partnerships
  * Limited Liability Company
  * Civil Companies

",,True,"12623829, 00890227, 13964442","For a successful search, identifiers are displayed in the 'Partida' column.

Organisations may also be able to find their identifier on their registration certificate prefixed by 'Nº Partida'. ",es,"A search service is available supporting search by name. 

The search appears to look for complete strings, so the name, or a fragment of the name, must be provided exactly as registered to get results. ",https://www.sunarp.gob.pe/dn-personas-juridicas.asp,True,PE,data_not_available,,registration_number,,no_license,False,,,https://es.wikipedia.org/wiki/Superintendencia_Nacional_de_los_Registros_P%C3%BAblicos,primary,2018-03-26,https://github.com/org-id/register/issues/202,Peruvian National Superintendency of Public Registries - Registered Legal Entities ,Superintendencia Nacional de los Registros Públicos - Personas Jurídicas Inscritas,80,,,,,,,,,,5,,,75,,,,,"charity, company",,https://www.sunarp.gob.pe/dn-personas-juridicas.asp
NP-CRO,"All companies operating in Nepal must register with the Office of the Company Registrar Office. This database is available for search on the Office homepage.

""To register a company, the promoter must submit an application as prescribed by the Ministry of Industry, Commerce, and Supplies. Online filing of the required documents has been introduced and made mandatory. After the online filing, entrepreneurs are required to visit the Office of Company Registrar and submit all the original documents for further verification."" [1]

[1] http://www.doingbusiness.org/data/exploreeconomies/nepal#starting-a-business",,False,"45995, 34774, 105299","Users can search for identifiers using the simple, searchable database on the Office website. Identifiers will be under the column heading 'Registration No' on the search results.

Company numbers are sometimes reported in the format: 45995-063-064

This is made up of two parts. A CRO number and a registration year.

For example:

Searching for 45995 in the Registrar database returns Young Innovations. This is their CRO number.

063-064 refers to the financial year that Young Innovations was registered. When included within the identifier, this could be reported with a dash-separator, and not slash. ","en, ne",Data available for free from search on Office website homepage,http://www.ocr.gov.np/index.php/en/,True,NP,html,,,http://index.okfn.org/place/nepal/companies/,closed_license,,,,,primary,2016-12-02,Desk research,Company Registrar Office,,75,,,,,,,,,0,,,,75,,,,,company,,http://www.cro.gov.np/
LT-PVM,"The Register of Legal Entities registers businesses, institutions and NGOs and collects detailed data about Lithuanian legal entities as well as branches and representative offices of foreign companies and organizations. The Register contains complete information (and historical data) about legal form and status of legal entities, fields of its activity, size and structure of the authorized capital, members of sole and collective management bodies, licenses acquired, etc. It is obligatory for the most of business companies to submit annual financial statements to the Register of Legal Entities since 2004. Starting from March 2010 private limited liability companies are obliged to declare current list of shareholders to the Register. ",,True,302416388,"Detailed data on the registration of legal entities are provided ONLY TO REGISTERED USERS who have concluded service provision agreement.
It is allowed to perform max 100 searches per day.","lt, en",,,True,LT,,,,,,False,,,,primary,2017-10-24,ProZorro Business Register Research,Lithuania Register of Legal Entities,Juridinių asmenų registras,75,,,,,,,,,,,,,75,,,,,company,,http://www.registrucentras.lt/jar/index_en.php
ET-MFA,"All charities wishing to operate in Ethiopia must register with the Ministry of Foreign Affairs (MFA). Details for how they register can be found in this document - http://mfa.gov.et/documents/10184/70245/NGO_Rule_English%5B1%5D%281%29.pdf/d20c730a-591e-4d3a-b9d8-a25aeb664904

Charities are registered but no openly searchable database yet available.",,False,Unable to find,Unable to find,"en, am",,Unable to find,True,ET,data_not_available,,,,,,,,,secondary,2016-11-23,Desk research,Ministry of Foreign Affairs,,50,,,,,,,,,,,,,,50,,,,charity,,http://www.mfa.gov.et/
